0.100000,-0.000000,0.066376,0.169204,0.066393,0.142163,0.053880,0.177158,0.066380,0.177165,0.078880,0.177173,0.053922,0.107158,0.066422,0.107165,0.078922,0.107173,0.066392,0.157165,0.066463,0.127283
0.300000,-0.000000,0.066354,0.169704,0.066419,0.142690,0.053881,0.177675,0.066381,0.177690,0.078881,0.177706,0.053967,0.107675,0.066467,0.107690,0.078967,0.107706,0.066406,0.157690,0.066443,0.127690
0.450000,-0.000000,0.066338,0.170078,0.066437,0.143195,0.053911,0.178187,0.066411,0.178194,0.078911,0.178201,0.053950,0.108187,0.066450,0.108194,0.078950,0.108201,0.066422,0.158194,0.066439,0.128194
0.550000,-0.000000,0.066322,0.170453,0.066415,0.143426,0.053886,0.178415,0.066386,0.178428,0.078886,0.178441,0.053959,0.108415,0.066459,0.108428,0.078959,0.108441,0.066407,0.158428,0.066438,0.128428
0.700000,-0.000000,0.066311,0.170703,0.066429,0.143432,0.053919,0.178797,0.066419,0.178802,0.078919,0.178807,0.053945,0.108797,0.066445,0.108802,0.078945,0.108807,0.066426,0.158802,0.066438,0.128802
0.900000,-0.000000,0.066289,0.171202,0.066467,0.144309,0.053932,0.179300,0.066408,0.179314,0.078908,0.179309,0.053885,0.109318,0.066385,0.109314,0.078885,0.109309,0.066402,0.159314,0.066382,0.129311
1.050000,-0.000000,0.066272,0.171577,0.066448,0.144305,0.053938,0.179314,0.066438,0.179310,0.078938,0.179306,0.053915,0.109314,0.066415,0.109310,0.078900,0.109663,0.066398,0.159663,0.066399,0.129663
1.200000,-0.000000,0.066256,0.171951,0.066378,0.144817,0.053973,0.180233,0.066473,0.180207,0.078973,0.180181,0.053830,0.110233,0.066329,0.110207,0.078829,0.110182,0.066432,0.160207,0.066370,0.130207
1.400000,-0.000000,0.066234,0.172451,0.066405,0.145547,0.054102,0.180622,0.066602,0.180560,0.079102,0.180499,0.053757,0.110623,0.066257,0.110561,0.078757,0.110500,0.066503,0.160561,0.066338,0.130565
1.550000,-0.000000,0.066218,0.172826,0.066431,0.145557,0.054100,0.180620,0.066794,0.181023,0.079293,0.180902,0.053616,0.111148,0.066116,0.111027,0.078615,0.110906,0.066600,0.161024,0.066309,0.131026
1.650000,-0.000000,0.066206,0.173075,0.066468,0.146386,0.054314,0.181507,0.066814,0.181385,0.079313,0.181262,0.053627,0.111511,0.066126,0.111388,0.078642,0.111269,0.066616,0.161385,0.066332,0.131386
